"filename", "language", "JSON", "Markdown", "C++", "Swift", "YAML", "XML", "Dart", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\models\renter.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 13, 11, 72
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\browse.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 3, 47
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\category_items.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 12, 16, 111
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\category_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 9, 6, 155
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\designer_item_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 17, 16, 128
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\designer_items.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 7, 14, 110
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\designer_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\occasion_grid_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 6, 41
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\occasion_grid_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 4, 48
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\occasion_items.dart", "Dart", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 12, 14, 108
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\style_items.dart", "Dart", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 13, 15, 110
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\browse\style_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 8, 8, 158
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\favourites\favourites.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 9, 7, 81
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\accordion-example.dart", "Dart", 0, 0, 0, 0, 0, 0, 396, 0, 0, 0, 2, 9, 407
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\faq_accordion.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 23, 15, 106
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\faqs.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 15, 2, 57
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\how_it_works.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 2, 36
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\hygiene_policy.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 2, 36
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\sizing_guide.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 2, 36
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\help_centre\what_is.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 2, 36
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 10, 12, 154
