"filename", "language", "Dart", "C++", "JSON", "Markdown", "YAML", "Swift", "Ruby", "Groovy", "Properties", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\rentals_home_widget.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 62
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\to_buy_home_widget.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 62
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home_page.dart", "Dart", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 114
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\admin.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 55
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\country_selector.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 76
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_account.dart", "Dart", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 27, 341
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_fittings.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 51
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_fittings_image_widget.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 133
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_history_fittings_image_widget.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 110
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_history_fittings_list.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 66
